Tweets,DateTime,sentiment,country
"Keep your health in your pocket help your doctor help you Download or update the new version of the PeopleWith app
Android 
AppStore 
Longcovid menopause trackyoursymptoms
CountLongCovid MCAS Covid19UK longhaulers ",2021-01-05 14:21:11+00:00,neutral,
   Perfectly fit and healthy people can suffer from symptoms quite a few athletes have various long COVID complications Why would you not wish somebody well anyhow,2021-01-05 14:59:46+00:00,neutral,
Long Covid study finds many patients unable to return to work six months later  ,2021-01-05 16:16:15+00:00,negative,
"I fully endorse this message
 
LongCovid MedTwitter COVID19 ",2021-01-05 16:18:10+00:00,positive,
   It is hard but dont be in any doubt what we all do definitely makes a difference ,2021-01-05 16:20:47+00:00,positive,
 What about the thousands of people like myself that have had long covid for 910 months that are unable to return to work  That number will also increase,2021-01-05 18:30:51+00:00,negative,
              4Number of children with conditions secondary to Covid MISC Kawasaki Disease Toxic Shock syndrome Totals since March are fine Thank you End   ,2021-01-05 18:37:40+00:00,neutral,
"This extensive study on impact of  LongCovid with more than 23 of post covid survivor reporting fatigue and impaired cognition 6 months after recovery reaffirms the lasting impact of this virus and why it is critical to staysafe through the 3W
",2021-01-05 22:32:15+00:00,negative,
Informative video report on likely causes for Long Covid  It suggests existing treatments for known autoimmune diseases like lupus and rheumatoid arthritis may be effective against Long Covid ,2021-01-06 00:34:11+00:00,neutral,
Have the VitaminD3B group zincVitaminCseleniumamp magnesium levels been compared in COVID19 patients who are killed by it with those who survived Were those severely affected by LongCovid checked for the abovementioned nutrients JustAsking ,2021-01-06 06:16:39+00:00,neutral,
"Doctors and GPs please read this
Long Covid patients are told to exercise despite crippling fatigue ",2021-01-06 09:11:10+00:00,neutral,
"Need more humility and less dogma indeed 

This living with the virus delusion is just making everything go from bad to worse ad nauseam and just adding more COVID19 deaths amp LongCovid And still too many dont want to understand this 

coronavirus COVID19 ",2021-01-06 09:33:58+00:00,negative,
    Alternative is risk of long Covid which would you prefer,2021-01-06 10:05:53+00:00,neutral,
What is long Covid Why some people arent recovering from coronavirus ,2021-01-06 11:35:39+00:00,negative,
Long Covid is characterised by a constellation of symptoms including  variably  shortness of breath marked fatigue headache and loss of ability to taste and smell normally,2021-01-06 12:07:11+00:00,negative,
"Ashworth at the dispatch box in the commons essentially saying that we must continue lockdown after the majority of the vunerable vaccinated  
To save people from Long Covid 
FFS",2021-01-06 15:25:30+00:00,neutral,
"Characterizing Long COVID in an International Cohort 7 Months of Symptoms and Their Impact  

I have not participated in an official research study not to mention see the actual article afterwards Some interesting stuff here on long haul COVID suffers",2021-01-06 18:17:08+00:00,neutral,
"COVID19 Chronic Sequela
Largest amp international study of LongCovid The most frequent symptoms  experienced after six months were fatigue tiredness after exercise and cognitive dysfunction Caveats not peerreviewed nor confirmation of diagnosis
",2021-01-06 19:18:42+00:00,negative,
QampA Please let me know what questions you may have about spirituality psychic abilities long term covid recovery anything Love and LightLongCovid spirituality intuition love light ,2021-01-06 19:23:56+00:00,neutral,
NEW Preprint Characterizing Long COVID in an International Cohort 7 Months of Symptoms and Their Impact ,2021-01-07 01:49:38+00:00,neutral,
I just dont think Korea will sit on its mail system for so long covid is everywhere theyre not going to bloc  i mean kpacket was suspended for a LONG time last year and EMS is only suspended to the UK not elsewhere i just ,2021-01-07 14:21:17+00:00,negative,
"   et al 
Upon hospital discharge COVID19 patients are counted as recovered by your stats
Why do you continue to provide inaccurateincomplete data on those rehospitalized or with debilitating LongCovid
Plan for care  COUNT THEM  ",2021-01-07 15:49:51+00:00,negative,
"Ampligen is an infusion therapy given to a patient over the course of a year rebuilding the immune system that may have been damaged as a result of contracting COVID19 

longhauler LongCovid clinicaltrials ",2021-01-07 17:38:51+00:00,neutral,
" And here is the press release too for the start of the studies for Long Covid



The more time the more funding we can get to Mayo or others to push for studies to be done on the lasting effects covid might be causing in many people 

LongCovid",2021-01-07 19:03:00+00:00,neutral,
    Given long Covid etc  and many 20 year old without medical conditions needing a long time in hospital for Covid19 I expect everyone will need some protection from vaccination  But we dont need the vaccines to stop everyone getting ill,2021-01-08 16:08:35+00:00,negative,
LongCovid is getting so excited about landing an appointment with a specialist who believes you and has some ideas for how to help you that you tucker yourself out with adrenaline and have to lie down ,2021-01-08 16:24:07+00:00,positive,
 Whats this about long covid people say they have on going symptoms from Is that only happening to the vulnerable,2021-01-08 16:24:58+00:00,neutral,
      I dont have long covid data but would be interesting to see I have seen resources amp experts who remind people that the side effects on heart and lungs are not covidexclusive These effects are not uncommon for other viruses like flu Just never been blasted on tv before,2021-01-08 16:35:53+00:00,neutral,
  Living with covid is a neoliberal nonsense A health service as underfunded amp shonky as ours cant cope with it amp it doesnt take long covid into account 2 week quarantine is hardly an academic ivory tower idea its a simple measure,2021-01-08 18:28:10+00:00,negative,
  I help patients in the ER all long  Covid is widespread and we send most patients home  Persons at high risk should stay in  wearing  masks and distancing good  do not condone lock downs,2021-01-08 18:37:51+00:00,neutral,
Just really glad to have finished 375 hours of work this week First time in 9 months LongCovid,2021-01-08 20:06:06+00:00,positive,
"  Well schools certainly arent safe are they Not with so very many infections 

Data is incredible for infections in primary and secondary 

Good on you for keeping them home

Staggering infections in children  So many with long Covid too
ONS data following school opening ",2021-01-08 21:05:50+00:00,negative,
 So I just saw this on a friends post If you dont know about long covid please go google it The lowest Ive seen is 10 of people who catch the disease even with mild symptoms get long covid Its a real risk You may want to go get checked out,2021-01-08 22:53:26+00:00,negative,
   Thank you for speaking so powerfully to  on  and mentioning our  Facebook Support Group Thank you for everything you are doing to shine a light on the life changing impact of LongCovid,2021-01-08 23:33:23+00:00,positive,
 CountLongCovid LongCovid Caught C19 end Nov Still off work Physical and mental fatigue breathless on exertion cough no taste few secs of some things no smell aches and stomach upsets come and go Unlikely to be able to work until a few more weeks but getting better,2021-01-09 08:14:03+00:00,negative,
" And so many with LongCovid 
Morbidity",2021-01-09 08:58:37+00:00,negative,
"If you tested positive for Covid in the past youre still entitled to the vaccine Ideally though you should wait at least four weeks after onset of symptoms
You can still get the vaccine if youre suffering from long Covid
everythingyouneedtoknowaboutvaccines Lincolnshire ",2021-01-09 10:30:06+00:00,neutral,
 pls help awareness of Pans Pandas  2021goals Every parent medic should know the symptoms More awareness research appropriate swift treatment is needed to improve quality of life amp ultimately save lives  SuicidePrevention BGE LongCovid ,2021-01-09 13:59:55+00:00,neutral,
  Saying 999 do recover  fully without any longCOVID aftereffects  disguises or at least drastically underplays how big the other 01 is in terms of actual numbers of deaths when the infection rate is so high 80000 excess deaths so far is worthy of media note I feel,2021-01-09 15:55:33+00:00,neutral,
Long Covid ,2021-01-09 16:36:25+00:00,neutral,
   Scarcely matters At the point of relaxing controls there will be very high prevalence This will lead to an increase in the number of deaths and hospitalizations as well as disability from long Covid,2021-01-09 17:35:17+00:00,negative,
This is it in a nutshell Policy accentuating the detrimental effect of poverty on covid deaths amp illness Families from deprived backgrounds more likely to catch the virus like this amp suffer severe illness amp LongCovid with less access to sick pay amp the vicious cycle continues ,2021-01-10 08:13:39+00:00,negative,
The potential for 10 to develop LongCovid is glossed over in this irresponsible piece of reporting  COVID19 IS NOT LIKE THE COMMON COLD OR FLU even in younger people  get a grip  ,2021-01-10 10:49:07+00:00,negative,
"    
Spot on  I know of final yr med students totally hospital based  working in ICU whilst infected 
Now  tell them they will not get vaccine despite risk of long Covid and serious illness 
Cannon Fodder ",2021-01-10 11:33:21+00:00,negative,
 I have long Covid and never had the TB jab due to severe reactions to jabs only got polio and the most necessary ones as a result had measles mumps and chicken pocks as an adult extremely unpleasant,2021-01-10 15:20:26+00:00,negative,
" Courage et soutien  
apresJ20 LongCovid ",2021-01-10 17:14:42+00:00,neutral,
  Exactly their is only 24 confirmed reinfection by clinical diagnosis worldwide  last I checked about a month or so ago It can also be a recurrence of the first one ie long covid and due to the fact that you can test postives even months after infectious might get a false ,2021-01-10 19:26:03+00:00,neutral,
"3 In 4 Covid Hospital Patients Struggling With Long Covid Six Months Later by  for  

 longcovid longcovidthread   
",2021-01-10 21:52:18+00:00,negative,
"300 days for me Believe me you do NOT want to get LongCovid
StayHome ",2021-01-11 10:06:05+00:00,negative,
"Covid 
Long covid 
Very long covid 
Extended covid 
Super covid 
Supersonic covid 
Covid ad infinitum    

Its just technocratic socialist business",2021-01-11 11:16:53+00:00,negative,
"According to study in 
76 1265 of 1655 of the patients reported at least one symptom that persisted LongCovid 

Longterm followup of recovered patients with COVID19 ",2021-01-11 11:24:58+00:00,neutral,
"Chinese study finds most patients still show signs of long Covid 6 months later  

COVID",2021-01-11 13:17:00+00:00,negative,
"  Vaccinate ALL frontline workers first including final yr med students 
They are catching the virus at work and some becoming very ill 
Long Covid risk 
Hospital trust have a duty of care",2021-01-11 17:16:14+00:00,neutral,
 Suggest you contact  He is a pain specialist who is working on service provision for LongCovid in Reading,2021-01-11 21:14:49+00:00,neutral,
 Those kinds of numbers with that symptom list is what makes other physicians not take long Covid seriously,2021-01-11 22:16:14+00:00,negative,
"Theres a problem with Long Covid name in as much as they all have Long Covid so means same treatment 

No no no no no",2021-01-12 01:37:35+00:00,negative,
"Most Wuhan COVID survivors still have health issues
76 of patients had at least one symptom 6 months after symptoms began

Most common symptoms were fatigue or muscle weakness 63 trouble sleeping 26 anxiety or depression 23 LongCovid 
",2021-01-12 10:27:12+00:00,negative,
" Thanks so much for this Simon 
I really do hope that  gets to read this given that hes planning to write a piece on ME amp longcovid",2021-01-12 13:20:51+00:00,positive,
    Ive offered to talk to you about my long spider bite but you dont seem interested Maybe you just dont care if I live or die Maybe youre only interested in Peter the Long Covid guy,2021-01-12 13:28:08+00:00,negative,
 Still take it easy Long COVID seems to have a lot of extreme ups and downs when it comes to energy and cardio ,2021-01-12 16:20:37+00:00,neutral,
     Oh how I am missing the LongCovid scenario here Where is the graph illustrating viral load and immune responses in LongCovid Please tell me theyre coming soon ,2021-01-12 17:54:02+00:00,negative,
Long Covid Virus like Russian roulette for young and healthy ,2021-01-12 19:12:14+00:00,negative,
       Our letter is sat on  Matt Hancocks desk We are lobbying for a clinical trial of this new treatment for long covid that is working for our patientsthey re recovering and symptoms easing,2021-01-12 19:22:54+00:00,neutral,
"  COVID19 is an extremely complex illness And of course a new one Strokes are potentially coming from pathological mechanisms that might persist after the major event Patients might need long term monitoring in this regard The same for respiratory symptoms
LongCovid",2021-01-12 19:44:52+00:00,neutral,
 Yes sure i talked about long covid as i am since 10 month,2021-01-12 20:55:47+00:00,neutral,
   Thats what Im hoping for Unless there are worries about long covid It would be good to see a plan from the Federal government,2021-01-13 08:23:11+00:00,positive,
"   So as I joked 
How many people do you need on a LongCovid group 
Twice as many as you think as were only good half the time
",2021-01-13 08:29:09+00:00,neutral,
"something that id tweet if i were gay
long covid sucks yall ",2021-01-13 14:14:54+00:00,negative,
 How would I know if I have long covid Shortness of breath,2021-01-13 16:31:34+00:00,negative,
Finally after 10 months thanks to starting beta blockers I feel like I have a normal heart rate and not something bursting out of my chest 100bpm LongCovid is not easy to live with WearAMask people and StaySafe,2021-01-13 16:50:24+00:00,positive,
 At the further risk of feeding your profile ADHD What is the point of stirring up the Im alright Jacks What do we learn from you Most positives are asymptomatic some get a mild form some get long Covid see  A lot die Up to 100000 NEWS ,2021-01-13 17:50:53+00:00,negative,
 Wow Thats rough Hope you are doing much better now and dont have longcovid Thanks for sharing,2021-01-13 17:51:27+00:00,negative,
Anyone in Windsor have any idea how long covid results are taking rn,2021-01-13 21:21:00+00:00,neutral,
I have signed the petition calling for long covid to be recognised as an occupational disease Many are unable to return to work because of the effects of long covid the least the government can do is recognise long covid as an occupational disease  ,2021-01-13 21:32:25+00:00,negative,
" Oh Ireland 
I hope so too Reflect and prevent 

Here in Germany we had too many jumbo jets destroyed in one day1196 deaths today And too many of the over 23000 new cases will soon be a new death or a new longcovid

Regret Repeat Regret 

",2021-01-13 21:35:24+00:00,negative,Germany
I have signed the petition calling for long covid to be recognised as an occupational disease Many are unable to return to work because of the effects of long covid the least the government can do is recognise long covid as an occupational disease  ,2021-01-13 23:39:13+00:00,negative,
"     House arrest Daft bugger
Millions more have lost family and friends or know someone who is suffering long Covid I doubt theyd trade the next couple of months for that",2021-01-14 08:09:47+00:00,negative,
   A very quick google suggest 130k over 85s in London and 16m over 85s nationally ukso it could easily be argued that London is getting more than its fair share especially when for so long COVID was a northernmidlands problem and London was fine to remain open,2021-01-14 11:45:18+00:00,neutral,
"Art poetry and thoughts about disability and LongCovid finding my highlights amp celebrating blessings
Day 14 TheJanuaryChallenge     
  

Thread ",2021-01-14 12:01:26+00:00,neutral,
"LCK team have been busy in the leadup to todays LongCovid debate 
Watch Live 2pm Today  

Support our petition asking for a childfocused Covid campaign SIGN HERE


150 more signatures get a response 9000 more to get it debated",2021-01-14 13:33:03+00:00,neutral,
So grateful to  for getting LongCovid discussed in Parliament Ive had this illness since March Desperately want to be able to have a long conversation again without having to stop due to chest pain Watching now with interest,2021-01-14 14:34:33+00:00,positive,
"  To all those suffering with Long Covid symptoms PLEASE PLEASE PLEASE register your symptoms here

Neurological
Psychiatric
Cardiovascular
Respiratory
Renal
Any thing else 

",2021-01-14 15:30:44+00:00,neutral,
"              Do contact Prof Louise Cummings shes a Prof of Clinical Linguistics and studying this aspect of LongCovid 

",2021-01-14 18:04:25+00:00,neutral,
A year ago  and now all these new words  Lockdown3 LongCovid COVIDー19 pandemic UKVariant CovidVaccine schoolclosures dailybriefing Isolation bubbles testing homeschooling2021 NHSblueheart StayHome ,2021-01-14 18:56:07+00:00,negative,
 Dear Layla please can you share the URL link with us all to the data to show for where the claim is that 300000 people have long covid symptoms in UK,2021-01-14 19:24:30+00:00,neutral,
  And I have been part of a long covid study here in the UK since July Before it was even a thing Note too that I have no underlying health conditions,2021-01-14 19:45:39+00:00,neutral,
"Sodealing with long Covid issues got a chest Xray done today  PA just called me a big mass in my upper lobe  Getting a CT done Monday  She said it looks like it could be lung cancer  

She said it could be other things so we need CT scan to know for sure  Freaked",2021-01-14 20:04:23+00:00,negative,
panspandashour        more awareness is urgently needed especially with LongCovid ,2021-01-14 20:41:43+00:00,neutral,
Rubbish LongCovid LockdownSA LockdownLevel3 COVID Covid19SA secondwave ,2021-01-14 20:50:06+00:00,negative,
    Its just a much less wellknown platform so at the margins fewer people will see it moving forward which is unfortunate especially given the global pandemic and longCOVID,2021-01-14 21:46:15+00:00,negative,
  I worry about mecfs and the lack of money for those who go on to get diagnosed with it after having LongCovid,2021-01-15 05:54:46+00:00,negative,
"Good morning

On the show

London is bottom of the table in the Covid vaccine rollout
Travel from South America banned to prevent spread of new variant
Long Covid sufferers should have right to compensation MPs suggest

Im live on  at 7am Call 0345 60 60 973 ",2021-01-15 06:48:02+00:00,neutral,
"When you are told by a NHS Consultant after he has done a talk on Long Covid Syndrome from a Respiratory perspective 
Melisa I was impressed with the way you chaired the meeting and greeted all attendees this added a personal touch into a very difficult virtual environment",2021-01-15 07:44:04+00:00,positive,
"Scots man battling long Covid tells of recovery hell after suffering lifechanging fatigue for 10 months

",2021-01-15 09:10:45+00:00,negative,
   Never seems to talk about long Covid in children or teens And this new UK Covid what does it make people more sicker Did not answer any worthy questions,2021-01-15 10:45:38+00:00,negative,
"While most COVID19 patients report having symptoms for 34 weeks some patients experience a more harsh Long Covid

Check out our latest health feature for more

",2021-01-15 11:52:38+00:00,neutral,
 I have so many patients suffering with long COVID Many who were very fit eg one who did a marathon just before illness bother who was able to do 50 press ups Its a horrible illness Pleased you are slowly recovering x,2021-01-15 14:50:52+00:00,negative,
 Just me being an idiot and not reading 17 next year and having an existential crisis over how long COVID has been going,2021-01-15 16:25:01+00:00,negative,
" has published a rapid guideline to identify assess and manage long COVID LongCovid

Read our guideline summary for FREE via the link below  available to download as a PDF to use as a quick resource in the pharmacy

 ",2021-01-15 18:11:00+00:00,neutral,
Also really fucking sad for every one of these people that are likely to develop long covid AKA myalgic encephalomyelitis aka chronic fatigue syndrome a debilitating chronic illness that is oft maligned in the medical community bc it mostly effects women,2021-01-15 18:26:33+00:00,negative,
The  are interested in finding out BAME doctors experiences during the coronavirus pandemic  LongCovid COVID19 Inclusivity Diversity Wellbeing please RT click the link to access the survey share your experiences and views  ,2021-01-15 18:32:27+00:00,neutral,
Tsimikas looks like he has had long Covid since last feb,2021-01-15 23:13:06+00:00,negative,
"3n
There was also brief mention of long Covid the new NICE guideline and whether to have Covid vaccination which Charles said theres more about on the MEA website

MyalgicEncephalomyelitis ChronicFatigueSyndrome MEcfs CFS MyalgicE",2021-01-15 23:28:50+00:00,neutral,
 Have Long Covid bloody nightmare triggered all allergies and mild asthma a mild attack every 3 month now every other day and not mild while inhalers are in short supply allergies I didnt notice as they were minor are now major apparently a catalyst for underlying issues,2021-01-15 23:52:48+00:00,negative,
The GoldenGirls episode on chronicfatiguesyndrome parallels what covid longhaulers are experiencing now tiktok TikTokviral covidlonghauler longcovid postcovidsyndrome ,2021-01-16 00:48:07+00:00,neutral,
"      We are seeing this in the patients community although for now I know personally only of adults and young adults LongCovid LongCovidKids 
I have seen this discussed as a tail of covid inflammation or the possibility of an autoimmune long term effect 
",2021-01-16 01:03:16+00:00,neutral,
 Right Not just naive it also undermines longcovid legitimacy,2021-01-16 03:17:40+00:00,negative,
Global homoeopathy supporting recovery from the signs and symptoms of Long Covid ,2021-01-16 07:51:55+00:00,neutral,
Feeling miserable like the weather and hoping the sunshine tomorrow will help A massive hug to all my LongCovid friends who are truly amazing and save me from despair ,2021-01-16 11:35:26+00:00,positive,
Parallels exist but a neurologist cautions against assuming LongCovid and MECFS are the same phenomenon ,2021-01-16 12:06:00+00:00,neutral,
 I saw this apparently from the biggest long covid study donein China Very different stats What accounts for the differences 510 vs 76 is quite a difference ,2021-01-16 12:43:36+00:00,neutral,China
 Nothing against him as a man just dont think he is good enough coach Yes losing SaintMaxim with long Covid is a big blow but we have decent core that should keep us out of relegation but it reminds me of the McClaren relegation year again,2021-01-16 16:58:49+00:00,negative,
 The MECFS amp chronic illness community are working very hard to help long haulers avoid the same medical pitfallsexperiences that theyve suffered Vague chronic symptomatology suffered mostly by women has long been discriminated against The fear is that long COVID will too,2021-01-16 17:08:48+00:00,negative,
   Munchausen syndrome is not long covid You sound like a panicked conspiracy theorist,2021-01-16 22:38:42+00:00,negative,
   And in the meantime if you get it you are unlikely to be hospitalised die or get long Covid if those reasons arent enough,2021-01-16 22:51:08+00:00,negative,
             There will be push for change by 22k members    ,2021-01-16 23:59:24+00:00,neutral,
   I would like to know if covid has previously been classed as a flu My daughter had similar symptoms 11 years ago and she developed ME as a result ME is very much like what theyre calling long covid now,2021-01-17 00:21:17+00:00,neutral,
"Long COVID haunts more patients than thought  COVID19 Special
",2021-01-17 00:44:01+00:00,negative,
"THIS is why I wrote SuperchargedSuperhero
I have received so many lovely messages recently from families who are living with the challenges we faced ourselves just a few years ago Im so glad my little story is making things a little easier 
pwme myalgice mecfs  longcovid ",2021-01-17 06:38:06+00:00,positive,
 Fibromyalgia is in the MyalgicEncephalomyelitis family for sure longcovid is clearly a post viral complication triggered by immune response so fits ME,2021-01-17 09:22:22+00:00,neutral,
What questions do you have about managing atreturning to work with longcovid 6pm tomorrow free facebook live Ask an OT ,2021-01-17 11:15:50+00:00,neutral,
 I am trying to lose weight  its been a long slog I am trying to cut out carbs I eat so many and sugar but Im feeling tired  especially in the afternoon Coupled with long Covid anything to get my energy back would be fantastic,2021-01-17 11:32:57+00:00,negative,
 Keep an eye on your symptoms and make sure you dont end up with Long Covid ,2021-01-17 15:56:49+00:00,neutral,
This is a fascinating piece of work on the very serious implications of long COVID including notably on the younger age cohorts ,2021-01-17 16:13:41+00:00,positive,
I do believe it something that we can all gradually recover from but please ensure unlike me your rest Learn to say NO and make sure if you feel you cannot do something dont do it Good luck to all who are in recovery we can a long road ahead Covid Recovery LongCovid,2021-01-17 16:23:19+00:00,positive,
 I had a day like that last week Absolutely awful Hopefully youll bounce back LongCovid sucks big sucky rocks,2021-01-17 17:08:17+00:00,negative,
Vitamin D and COVID  the topic even made it into the british Parlament Shouldnt our medical societies take it up finally    dgk LongCovid Covid Endocrinology,2021-01-17 19:26:47+00:00,neutral,
Woman with Long Covid reveals doctors found blood clots on her lungs MONTHS after being struck down with virus ,2021-01-18 08:14:03+00:00,negative,
"  This is the problem that seems to be being ignored in the Governments strategy

Some news
COVID19 DIAGNOSIS FOR MULTIORGAN DAMAGE IN LONGCOVID
A new software tool
",2021-01-18 11:16:39+00:00,neutral,
 Yes I fear so sadly  is long covid ME hopefully for most it will be post viral but some I believe it could become ME  As a parent of a child who has suffered since age 8 she has suffered not only from illness itself but from stigma of its all in your head,2021-01-18 11:55:24+00:00,negative,
I consider those warping natural HERD IMMUNITY into a doctrine for responding to be a deadly virus which could kill 1 of those infected  debilitate 10 WITH LONG COVID to be CONSPIRACY THEORISTS Their arguments are not grounded in science but based on disinformation  dogma,2021-01-18 17:02:11+00:00,negative,
  Younger people can also suffer from the effects of Covid though they might not die from it Long covid has had a huge impact on some peoples lives,2021-01-18 17:40:24+00:00,negative,
"The idea that we have that level of increased risk in people  particularly young people  it means weve got a lot of work to do
There is no consensus on the scale and impact of long Covid but scientists have described emerging evidence as concerning ",2021-01-18 17:50:06+00:00,negative,
A study of the effects of long Covid makes disquieting reading ,2021-01-18 20:23:23+00:00,negative,
